2024-11-18 21:02:38,154 - INFO: Actaris(G4) : Total site processed: 8, Successful rows: 1, Errors: 7
2024-11-18 21:07:31,057 - INFO: Actaris(G1) : Total site processed: 9, Successful rows: 4, Errors: 5
2024-11-18 21:07:41,333 - INFO: Elster EK-280 : Total site processed: 19, Successful rows: 0, Errors: 19
2024-11-19 21:00:05,556 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-19 21:01:22,134 - INFO: Actaris(G2) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-11-19 21:03:44,087 - INFO: Actaris(G4) : Total site processed: 9, Successful rows: 4, Errors: 5
2024-11-19 21:04:05,165 - INFO: Actaris(G3) : Total site processed: 10, Successful rows: 4, Errors: 6
2024-11-19 21:06:05,282 - INFO: Elster EK-280 : Total site processed: 16, Successful rows: 5, Errors: 11
2024-11-19 21:07:45,038 - INFO: Actaris(G1) : Total site processed: 9, Successful rows: 6, Errors: 3
2024-11-20 21:00:07,775 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-20 21:02:49,163 - INFO: Actaris(G4) : Total site processed: 7, Successful rows: 2, Errors: 5
2024-11-20 21:03:17,660 - INFO: Actaris(G2) : Total site processed: 3, Successful rows: 3, Errors: 0
2024-11-20 21:04:03,427 - INFO: Actaris(G3) : Total site processed: 11, Successful rows: 5, Errors: 6
2024-11-20 21:04:57,074 - INFO: Elster EK-280 : Total site processed: 14, Successful rows: 3, Errors: 11
2024-11-20 21:07:19,633 - INFO: Actaris(G1) : Total site processed: 9, Successful rows: 5, Errors: 4
2024-11-21 21:00:06,628 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-21 21:01:21,659 - INFO: Actaris(G2) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-11-21 21:02:46,383 - INFO: Actaris(G3) : Total site processed: 8, Successful rows: 2, Errors: 6
2024-11-21 21:04:10,325 - INFO: Actaris(G4) : Total site processed: 10, Successful rows: 3, Errors: 7
2024-11-21 21:06:00,713 - INFO: Elster EK-280 : Total site processed: 16, Successful rows: 3, Errors: 13
2024-11-21 21:09:26,704 - INFO: Actaris(G1) : Total site processed: 12, Successful rows: 7, Errors: 5
2024-11-22 21:00:05,762 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-22 21:02:38,323 - INFO: Actaris(G3) : Total site processed: 8, Successful rows: 2, Errors: 6
2024-11-22 21:03:56,998 - INFO: Actaris(G2) : Total site processed: 4, Successful rows: 4, Errors: 0
2024-11-22 21:04:51,454 - INFO: Elster EK-280 : Total site processed: 13, Successful rows: 2, Errors: 11
2024-11-22 21:05:28,999 - INFO: Actaris(G4) : Total site processed: 13, Successful rows: 6, Errors: 7
2024-11-22 21:09:03,617 - INFO: Actaris(G1) : Total site processed: 11, Successful rows: 6, Errors: 5
2024-11-23 21:00:06,853 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-23 21:01:13,954 - INFO: Actaris(G2) : Total site processed: 2, Successful rows: 1, Errors: 1
